Data,gioele,gabriele,campaggiorni,denni,nastini,corsi,memmo,sami,jojo,perfo,pesciolino
"lunedì, novembre 18, 2024",,,,,,,,,,,
"martedì, novembre 19, 2024",,,,,,,,,,,
"mercoledì, novembre 20, 2024",,,,,,,,,,,
"giovedì, novembre 21, 2024",,,,,,,,,,,
"venerdì, novembre 22, 2024",,,,,,,,,,,
"sabato, novembre 23, 2024",,,,,,,,,,,
"domenica, novembre 24, 2024",,,,,,,,,,,
"lunedì, novembre 25, 2024",,,,,,,,,,,
"martedì, novembre 26, 2024",,,,,,,,,,,
"mercoledì, novembre 27, 2024",,,,,,,,,,,
"giovedì, novembre 28, 2024",,,,,,,,,,,
"venerdì, novembre 29, 2024",,,,,,,,,,,
"sabato, novembre 30, 2024",,,,,,,,,,,
"domenica, dicembre 01, 2024",,,,,,,,,,,
"lunedì, dicembre 02, 2024",,,,,,,,,,,
"martedì, dicembre 03, 2024",,,,,,,,,,,
"mercoledì, dicembre 04, 2024",,,,,,,,,,,
"giovedì, dicembre 05, 2024",,,,,,,,,,,
"venerdì, dicembre 06, 2024",,,,,,,,,,,
"sabato, dicembre 07, 2024",,,,,,,,,,,
"domenica, dicembre 08, 2024",,,,,,,,,,,
"lunedì, dicembre 09, 2024",,,,,,,,,,,
"martedì, dicembre 10, 2024",,,,,,,,,,,
"mercoledì, dicembre 11, 2024",,,,,,,,,,,
"giovedì, dicembre 12, 2024",,,,,,,,,,,
"venerdì, dicembre 13, 2024",,,,,,,,,,,
"sabato, dicembre 14, 2024",,,,,,,,,,,
"domenica, dicembre 15, 2024",,,,,,,,,,,
"lunedì, dicembre 16, 2024",,,,,,,,,,,
"martedì, dicembre 17, 2024",,,,,,,,,,,
"mercoledì, dicembre 18, 2024",,,,,,,,,,,
"giovedì, dicembre 19, 2024",,,,,,,,,,,
"venerdì, dicembre 20, 2024",,,,,,,,,,,
"sabato, dicembre 21, 2024",,,,,,,,,,,
"domenica, dicembre 22, 2024",,,,,,,,,,,
"lunedì, dicembre 23, 2024",,,,,,,,,,,
"martedì, dicembre 24, 2024",,,,,,,,,,,
"mercoledì, dicembre 25, 2024",,,,,,,,,,,
"giovedì, dicembre 26, 2024",,,,,,,,,,,
"venerdì, dicembre 27, 2024",,,,,,,,,,,
"sabato, dicembre 28, 2024",,,,,,,,,,,
"domenica, dicembre 29, 2024",,,,,,,,,,,
"lunedì, dicembre 30, 2024",,,,,,,,,,,
"martedì, dicembre 31, 2024",,,,,,,,,,,
TOTALE,31,0,0,0,70,40,0,52,0,0,0
